Date,Close,High,Low,Open,Volume
2009-01-02,20.4679,20.4679,20.4679,20.4679,0
2009-01-05,22.7843,22.7843,19.0357,21.9001,26338
2009-01-06,22.7718,22.7843,21.1279,22.7843,24377
2009-01-07,20.0569,21.7133,20.0569,21.6074,16672
2009-01-08,18.7804,21.0532,18.7804,20.9224,31357
2009-01-09,20.0631,20.2499,19.9386,20.1939,18391
2009-01-12,21.2898,21.2898,19.677,19.6957,13977
2009-01-13,20.3371,21.2898,19.7144,21.2898,11554
2009-01-14,21.651,21.651,20.2312,20.3371,13520
2009-01-15,19.3034,21.651,19.2723,21.651,29872
2009-01-16,18.6807,19.5463,18.6807,19.428,14165
2009-01-19,21.0034,21.0034,19.5401,19.5836,8872
2009-01-20,20.4492,20.4492,19.0108,19.073,27774
2009-01-21,18.9921,19.0232,18.687,18.9298,29100
2009-02-02,20.5737,20.5737,18.9298,18.9298,7841
2009-02-03,19.5961,19.7082,19.1291,19.1291,16223
2009-02-04,19.7331,19.8265,18.2262,18.2262,16252
2009-02-05,19.5712,21.1092,19.5463,21.1092,14257
2009-02-06,20.0507,20.2686,19.7829,19.7829,22990
2009-02-09,21.651,21.651,18.6496,18.6496,28135
2009-02-10,21.7817,21.7817,20.1752,20.2686,17374
2009-02-11,19.2598,21.7817,19.2598,21.7817,14060
2009-02-12,21.5514,21.5514,20.0818,20.6298,17087
2009-02-13,20.7232,21.5514,18.7368,21.5514,17924
2009-02-16,22.1242,22.1242,20.5675,20.7232,9781
2009-02-17,20.2001,22.1242,20.0756,22.1242,12662
2009-02-18,18.8177,20.2686,18.8177,19.3034,13810
2009-02-19,21.9312,21.9312,19.8888,20.0382,15551
2009-02-20,21.3832,21.3832,19.9261,20.1129,24878
2009-02-23,20.2001,21.3832,18.5936,21.3832,15467
2009-02-24,21.4268,21.4268,19.7144,19.8016,22044
2009-02-25,20.3869,20.5177,20.1752,20.2375,19672
2009-02-26,20.4243,20.5488,20.2748,20.3869,23652
2009-02-27,20.58,20.6049,18.9983,18.9983,11089
2009-03-02,19.8825,22.0184,19.7705,22.0184,37820
2009-03-03,19.895,21.2711,19.4902,21.2711,18194
2009-03-04,20.3931,20.3931,18.5064,18.5064,25616
2009-03-05,20.829,21.8191,20.5488,21.8191,22365
2009-03-06,22.4293,22.4293,19.3719,19.3719,14037
2009-03-09,20.7481,20.9847,20.5301,20.9847,9851
2009-03-10,20.8477,22.1989,20.5613,22.1989,7245
2009-03-11,21.3272,22.3048,21.0843,22.3048,32167
2009-03-12,21.2026,22.8154,21.1404,22.8154,19076
2009-03-13,21.7942,22.0121,19.7206,19.7206,41024
2009-03-16,22.1242,22.1803,21.8316,21.8316,38765
2009-03-17,22.5227,23.6685,21.981,23.6685,32108
2009-03-18,22.4792,22.6099,22.3733,22.4169,21639
2009-03-19,22.3546,22.7843,21.7942,21.7942,35387
2009-03-20,22.0557,23.9176,22.0308,23.9176,36163
